"","or_region","as_region","year","tot_compl","or_lat","or_long","as_lat","as_long"
"5352","SouthernEurope","SouthernEurope",2004,0,40,9,40,9
"5372","WesternAfrica","WesternAfrica",2004,5862,11,1,11,1
"5392","WesternAsia","WesternAsia",2004,61412,24,42,24,42
"5412","WesternEurope","WesternEurope",2004,14.5,50,5,50,5
"5413","Caribbean","Caribbean",2005,12,21,-78,21,-78
"5433","CentralAmerica","CentralAmerica",2005,13,16,-93,16,-93
"5453","CentralAsia","CentralAsia",2005,127,42,67,42,67
"5473","EasternAfrica","EasternAfrica",2005,25875,3,40,3,40
"5493","EasternAsia","EasternAsia",2005,0,41,116,41,116
"5513","EasternEurope","EasternEurope",2005,2893,51,39,51,39
"5533","MiddleAfrica","MiddleAfrica",2005,20196,1,17,1,17
"5553","NorthernAfrica","NorthernAfrica",2005,6,29,9,29,9
"5573","NorthernAmerica","NorthernAmerica",2005,335,45,-100,45,-100
"5593","NorthernEurope","NorthernEurope",2005,11,59,15,59,15
"5613","Oceania","Oceania",2005,9,-20,135,-20,135
"5633","South-EasternAsia","South-EasternAsia",2005,8768,3,114,3,114
"5653","SouthAmerica","SouthAmerica",2005,2364,-25,-65,-25,-65
"5673","SouthernAfrica","SouthernAfrica",2005,149,-23,30,-23,30
"5693","SouthernAsia","SouthernAsia",2005,1385,23,79,23,79
"5713","SouthernEurope","SouthernEurope",2005,0,40,9,40,9
"5733","WesternAfrica","WesternAfrica",2005,43444,11,1,11,1
"5753","WesternAsia","WesternAsia",2005,78117.5,24,42,24,42
"5773","WesternEurope","WesternEurope",2005,377,50,5,50,5
"5774","Caribbean","Caribbean",2006,14,21,-78,21,-78
"5794","CentralAmerica","CentralAmerica",2006,7,16,-93,16,-93
"5814","CentralAsia","CentralAsia",2006,176,42,67,42,67
"5834","EasternAfrica","EasternAfrica",2006,76006.5,3,40,3,40
"5854","EasternAsia","EasternAsia",2006,19,41,116,41,116
"5874","EasternEurope","EasternEurope",2006,2389,51,39,51,39
"5894","MiddleAfrica","MiddleAfrica",2006,54529,1,17,1,17
"5914","NorthernAfrica","NorthernAfrica",2006,8,29,9,29,9
"5934","NorthernAmerica","NorthernAmerica",2006,435,45,-100,45,-100
"5954","NorthernEurope","NorthernEurope",2006,0,59,15,59,15
"5974","Oceania","Oceania",2006,14,-20,135,-20,135
"5994","South-EasternAsia","South-EasternAsia",2006,23423,3,114,3,114
"6014","SouthAmerica","SouthAmerica",2006,2495,-25,-65,-25,-65
"6034","SouthernAfrica","SouthernAfrica",2006,99,-23,30,-23,30
"6054","SouthernAsia","SouthernAsia",2006,20614,23,79,23,79
"6074","SouthernEurope","SouthernEurope",2006,0,40,9,40,9
"6094","WesternAfrica","WesternAfrica",2006,14069,11,1,11,1
"6114","WesternAsia","WesternAsia",2006,1246517,24,42,24,42
"6134","WesternEurope","WesternEurope",2006,22,50,5,50,5
"6135","Caribbean","Caribbean",2007,32,21,-78,21,-78
"6155","CentralAmerica","CentralAmerica",2007,13,16,-93,16,-93
"6175","CentralAsia","CentralAsia",2007,681,42,67,42,67
"6195","EasternAfrica","EasternAfrica",2007,46357,3,40,3,40
"6215","EasternAsia","EasternAsia",2007,1,41,116,41,116
"6235","EasternEurope","EasternEurope",2007,5058,51,39,51,39
"6255","MiddleAfrica","MiddleAfrica",2007,26696,1,17,1,17
"6275","NorthernAfrica","NorthernAfrica",2007,23,29,9,29,9
"6295","NorthernAmerica","NorthernAmerica",2007,562,45,-100,45,-100
"6315","NorthernEurope","NorthernEurope",2007,1,59,15,59,15
"6335","Oceania","Oceania",2007,61,-20,135,-20,135
"6355","South-EasternAsia","South-EasternAsia",2007,8129,3,114,3,114
"6375","SouthAmerica","SouthAmerica",2007,470485,-25,-65,-25,-65
"6395","SouthernAfrica","SouthernAfrica",2007,283,-23,30,-23,30
"6415","SouthernAsia","SouthernAsia",2007,5853,23,79,23,79
"6435","SouthernEurope","SouthernEurope",2007,0,40,9,40,9
"6455","WesternAfrica","WesternAfrica",2007,7558.5,11,1,11,1
"6475","WesternAsia","WesternAsia",2007,913732.5,24,42,24,42
"6495","WesternEurope","WesternEurope",2007,6,50,5,50,5
"6496","Caribbean","Caribbean",2008,2,21,-78,21,-78
"6516","CentralAmerica","CentralAmerica",2008,27,16,-93,16,-93
"6536","CentralAsia","CentralAsia",2008,30310,42,67,42,67
"6556","EasternAfrica","EasternAfrica",2008,88970,3,40,3,40
"6576","EasternAsia","EasternAsia",2008,10,41,116,41,116
"6596","EasternEurope","EasternEurope",2008,19396,51,39,51,39
"6616","MiddleAfrica","MiddleAfrica",2008,32740,1,17,1,17
"6636","NorthernAfrica","NorthernAfrica",2008,40,29,9,29,9
"6656","NorthernAmerica","NorthernAmerica",2008,209,45,-100,45,-100
"6676","NorthernEurope","NorthernEurope",2008,8,59,15,59,15
"6696","Oceania","Oceania",2008,18,-20,135,-20,135
"6716","South-EasternAsia","South-EasternAsia",2008,4370,3,114,3,114
"6736","SouthAmerica","SouthAmerica",2008,777,-25,-65,-25,-65
"6756","SouthernAfrica","SouthernAfrica",2008,716,-23,30,-23,30
"6776","SouthernAsia","SouthernAsia",2008,378,23,79,23,79
"6796","SouthernEurope","SouthernEurope",2008,0,40,9,40,9
"6816","WesternAfrica","WesternAfrica",2008,15605.5,11,1,11,1
"6836","WesternAsia","WesternAsia",2008,87975.5,24,42,24,42
"6856","WesternEurope","WesternEurope",2008,3,50,5,50,5
"6857","Caribbean","Caribbean",2009,55,21,-78,21,-78
"6877","CentralAmerica","CentralAmerica",2009,69,16,-93,16,-93
"6897","CentralAsia","CentralAsia",2009,87903,42,67,42,67
"6917","EasternAfrica","EasternAfrica",2009,100755,3,40,3,40
"6937","EasternAsia","EasternAsia",2009,19,41,116,41,116
"6957","EasternEurope","EasternEurope",2009,2582,51,39,51,39
"6977","MiddleAfrica","MiddleAfrica",2009,143382,1,17,1,17
"6997","NorthernAfrica","NorthernAfrica",2009,103,29,9,29,9
"7017","NorthernAmerica","NorthernAmerica",2009,493,45,-100,45,-100
"7037","NorthernEurope","NorthernEurope",2009,0,59,15,59,15
"7057","Oceania","Oceania",2009,47,-20,135,-20,135
"7077","South-EasternAsia","South-EasternAsia",2009,28076.5,3,114,3,114
"7097","SouthAmerica","SouthAmerica",2009,15936,-25,-65,-25,-65
"7117","SouthernAfrica","SouthernAfrica",2009,280,-23,30,-23,30
"7137","SouthernAsia","SouthernAsia",2009,3,23,79,23,79
"7157","SouthernEurope","SouthernEurope",2009,0,40,9,40,9
"7177","WesternAfrica","WesternAfrica",2009,7208.5,11,1,11,1
"7197","WesternAsia","WesternAsia",2009,45940,24,42,24,42
"7217","WesternEurope","WesternEurope",2009,1,50,5,50,5
"7218","Caribbean","Caribbean",2010,0,21,-78,21,-78
"7238","CentralAmerica","CentralAmerica",2010,135,16,-93,16,-93
"7258","CentralAsia","CentralAsia",2010,7758,42,67,42,67
"7278","EasternAfrica","EasternAfrica",2010,87652,3,40,3,40
"7298","EasternAsia","EasternAsia",2010,13,41,116,41,116
"7318","EasternEurope","EasternEurope",2010,293,51,39,51,39
"7338","MiddleAfrica","MiddleAfrica",2010,26744,1,17,1,17
"7358","NorthernAfrica","NorthernAfrica",2010,1456,29,9,29,9
"7378","NorthernAmerica","NorthernAmerica",2010,350,45,-100,45,-100
"7398","NorthernEurope","NorthernEurope",2010,0,59,15,59,15
"7418","Oceania","Oceania",2010,87,-20,135,-20,135
"7438","South-EasternAsia","South-EasternAsia",2010,14855.5,3,114,3,114
"7458","SouthAmerica","SouthAmerica",2010,5024,-25,-65,-25,-65
"7478","SouthernAfrica","SouthernAfrica",2010,531,-23,30,-23,30
"7498","SouthernAsia","SouthernAsia",2010,14,23,79,23,79
"7518","SouthernEurope","SouthernEurope",2010,0,40,9,40,9
"7538","WesternAfrica","WesternAfrica",2010,28215,11,1,11,1
"7558","WesternAsia","WesternAsia",2010,74860,24,42,24,42
"7578","WesternEurope","WesternEurope",2010,20,50,5,50,5
"7579","Caribbean","Caribbean",2011,4,21,-78,21,-78
"7599","CentralAmerica","CentralAmerica",2011,230,16,-93,16,-93
"7619","CentralAsia","CentralAsia",2011,3841,42,67,42,67
"7639","EasternAfrica","EasternAfrica",2011,331852,3,40,3,40
"7659","EasternAsia","EasternAsia",2011,4,41,116,41,116
"7679","EasternEurope","EasternEurope",2011,249,51,39,51,39
"7699","MiddleAfrica","MiddleAfrica",2011,8047,1,17,1,17
"7719","NorthernAfrica","NorthernAfrica",2011,621.5,29,9,29,9
"7739","NorthernAmerica","NorthernAmerica",2011,646.5,45,-100,45,-100
"7759","NorthernEurope","NorthernEurope",2011,3,59,15,59,15
